State,Year,HS_or_higher_25-44,Bach_or_higher_25-44,MathG8Performance,MG8_at_or_above_prof,ReadingG80500,EGOV,LGOV,TGOV,REGION,,,
Hawaii,2012,94.3,30.6,NA,NA,NA,,,,W,,,
Idaho,2012,91.2,25.9,NA,NA,NA,,,,W,,,
Illinois,2012,89.7,37.3,NA,NA,NA,,,,MW,,,
Indiana,2012,88.6,27.6,NA,NA,NA,,,,MW,,,
Iowa,2012,93.2,32.8,NA,NA,NA,,,,MW,,,
Kansas,2012,90.1,33.7,NA,NA,NA,,,,MW,,,
Kentucky,2012,88.6,25.5,NA,NA,NA,,,,SE,,,
Louisiana,2012,85.2,24.7,NA,NA,NA,,,,SE,,,
Maine,2012,94.0,28.3,NA,NA,NA,,,,NE,,,
Maryland,2012,90.7,40.8,NA,NA,NA,,,,SE,,,
Massachusetts,2012,92.2,46.4,NA,NA,NA,,,,NE,,,
Michigan,2012,90.7,30.1,NA,NA,NA,,,,MW,,,
Minnesota,2012,93.7,39.0,NA,NA,NA,,,,MW,,,
Mississippi,2012,85.3,22.2,NA,NA,NA,,,,SE,,,
Missouri,2012,90.0,31.1,NA,NA,NA,,,,MW,,,
Montana,2012,93.2,32.0,NA,NA,NA,,,,W,,,
Nebraska,2012,90.2,34.4,NA,NA,NA,,,,MW,,,
Nevada,2012,84.7,22.4,NA,NA,NA,,,,W,,,
New Hampshire,2012,93.8,38.1,NA,NA,NA,,,,NE,,,
New Jersey,2012,91.1,42.3,NA,NA,NA,,,,NE,,,
New Mexico,2012,85.7,23.9,NA,NA,NA,,,,SW,,,
New York,2012,87.9,39.7,NA,NA,NA,,,,NE,,,
